bench,llm,gap_150,gap_300,gap_600,gap_1200,gap_2400,a_asymptote,b_variance,fit_r2,crossover_N,gap_negative_at_2400,deepening
hotpot,smollm17b,0.007432105604707541,0.0063214484194750705,0.004194184036309719,0.003023954590503453,0.0026105628879622353,0.00268684690346704,0.7856532403837013,0.9099909304627783,,False,False
trivia,smollm17b,0.011537186140039261,0.009758840995299995,0.006126932943250843,0.005010447841319663,0.004190821047688552,0.004228390164050921,1.1986279856008029,0.9213860083428345,,False,False
nq,smollm17b,0.009088358647143897,0.008241062866024884,0.006288050224380146,0.003221842254707367,0.001877874019788178,0.0029613778093026777,1.0769263715249866,0.7677464791663517,,False,False
hotpot,qwen3b,0.009844453438266836,0.007365547485223817,0.005572657157098122,0.00341168151054731,0.0026828587352566644,0.00289236234631319,1.116029929922074,0.9386822514553551,,False,False
trivia,qwen3b,0.012940646475330058,0.010468639157051363,0.005309765821962325,0.003297940408125962,0.0036804695582015228,0.002931550212641206,1.6288808018682726,0.9162576041066484,,False,False
nq,qwen3b,0.0066469352925701206,0.00556952465812623,0.002937011101325465,4.981152277177929e-05,-0.0009286610051111588,-0.00020022213022330104,1.182637333223144,0.8223000625279167,5906.626464837768,True,False
hotpot,phi3mini,0.010818626162902276,0.008921652934188751,0.005621107514714667,0.004184923653825556,0.002532592709893278,0.0031254091906008463,1.2736921565822157,0.9041543830487002,,False,False
trivia,phi3mini,0.013459069109493066,0.01154084127215048,0.007560722598207212,0.006198701575993773,0.006394311044716409,0.00583265254531436,1.2379651257281912,0.919805862373827,,False,False
nq,phi3mini,0.00282397261235013,0.0011867803777649184,-0.00032059346100096753,-0.0026183036840772434,-0.005334731426498832,-0.0037381551490477576,1.1169987223569129,0.7829640910570219,298.81015576398767,True,True
hotpot,phi35,0.011099331633330177,0.00878011705177417,0.005689140558190629,0.0040413805145409504,0.002623650045306944,0.0030531917491643332,1.3136253721797053,0.9274203453048262,,False,False
trivia,phi35,0.010115862292048245,0.00849928305503855,0.006510748246020525,0.002800052619902153,0.0022765621441328404,0.002852494601977743,1.2340672526905996,0.8275057866179687,,False,False
nq,phi35,0.004127763416418302,0.002520952388402234,-0.00031048798475352343,-0.00216645052193035,-0.0031320125163565565,-0.0027528148196290913,1.1461036552200436,0.8982615612544781,416.33881329310316,True,True
hotpot,zephyr7b,0.0016971914067015238,0.0009680979494802889,0.0009047443331757082,0.0004124364823991176,0.0004967058517677345,0.0003929389169346917,0.19466953074974794,0.940923959738365,,False,False
trivia,zephyr7b,0.0034405513175603045,0.0026280671185923733,0.0018298091377134257,0.0003715289436531724,0.0003789320477963175,0.0004426329042838048,0.49824960339844404,0.8650929724828804,,False,False
nq,zephyr7b,0.002301055864332829,0.0012384861083490246,0.0012252578154857054,0.0002802383319955807,0.00012881557327649486,0.0001915535180211687,0.3264066660645516,0.8961299354392434,,False,False
hotpot,mistral,0.0024985002562926753,0.002210358076079935,0.0010746493184492188,0.0006180151770935893,0.00028253369433681,0.0004186913213804736,0.35540128376902147,0.8565448036698021,,False,False
trivia,mistral,0.005201365106313457,0.0044093310631981054,0.0037382372147213407,0.003044036587967729,0.003331549491988203,0.0030875271821945004,0.3318877589586837,0.9407128175991756,,False,False
nq,mistral,0.006128867925867169,0.00691397295367586,0.00350743670241881,0.00257560180954944,0.0008886983107322562,0.001946543147578788,0.7960151198206133,0.6554167834229834,,False,False
hotpot,qwen,0.010220064986960747,0.008618135032305213,0.005750738178324133,0.004307009231139931,0.0025938340316747823,0.0033212779503078355,1.1522625839121776,0.8851392472915361,,False,False
trivia,qwen,0.011672732620568635,0.007478597127318538,0.0040625307474418185,0.0007164571588032312,0.001188821861829028,0.0004519240232801887,1.7697692438369266,0.9584631572639771,,False,False
nq,qwen,0.004426924495611155,0.0031360774524535444,0.0006777372379230887,-0.003024793025823286,-0.003920657450268025,-0.003100497549596806,1.3004730160939748,0.8079189448149121,419.44010446423044,True,True
hotpot,qwencoder7b,0.0019693617594685187,0.0017853818452582219,0.000749286354944324,0.0006824380864605545,0.00047239605561863116,0.00048417685655723503,0.2506823085649605,0.8491805887060825,,False,False
trivia,qwencoder7b,0.007998776145311137,0.005022310310270679,0.005506057410040843,0.0037515543613786326,0.0033376437179577327,0.0033648282711053034,0.6806864972463875,0.8869344885751159,,False,False
